datetime,anio,mes,defuncion,temperatura,PM10
2010-01-01,2010,1,39,14.361904761904762,59.19222222222223
2010-02-01,2010,2,50,14.98888888888889,66.83333333333334
2010-03-01,2010,3,51,15.268333333333334,58.50625
2010-04-01,2010,4,32,14.368333333333332,55.08
2010-05-01,2010,5,48,14.519841269841269,46.800000000000004
2010-06-01,2010,6,56,14.0,40.515
2010-07-01,2010,7,48,13.522916666666667,45.15138888888889
2010-08-01,2010,8,52,13.54375,50.05555555555556
2010-09-01,2010,9,51,13.471428571428572,63.574603174603176
2010-10-01,2010,10,37,13.635416666666666,52.05166666666667
2010-11-01,2010,11,45,13.2375,58.230000000000004
2010-12-01,2010,12,46,13.04642857142857,61.18809523809523
2011-01-01,2011,1,44,13.325,60.04166666666667
2011-02-01,2011,2,42,13.485416666666666,58.099999999999994
2011-03-01,2011,3,38,13.471428571428572,48.65
2011-04-01,2011,4,47,13.743749999999999,51.53333333333333
2011-05-01,2011,5,44,14.318749999999998,47.17777777777778
2011-06-01,2011,6,48,14.212499999999999,42.449999999999996
2011-07-01,2011,7,38,13.519642857142857,39.01
2011-08-01,2011,8,45,13.592857142857142,44.583333333333336
2011-09-01,2011,9,37,13.713392857142857,43.96
2011-10-01,2011,10,36,13.337499999999999,47.7
2011-11-01,2011,11,42,13.39375,57.85454545454546
2011-12-01,2011,12,56,13.68,52.462500000000006
2012-01-01,2012,1,41,13.626111111111111,50.55833333333334
2012-02-01,2012,2,34,13.647222222222222,60.006060606060615
2012-03-01,2012,3,43,13.662222222222223,49.834999999999994
2012-04-01,2012,4,50,13.355,48.82852564102564
2012-05-01,2012,5,68,14.026666666666667,39.56818181818182
2012-06-01,2012,6,43,13.745,39.340833333333336
2012-07-01,2012,7,43,13.294444444444444,29.6625
2012-08-01,2012,8,42,13.309999999999999,33.05045454545454
2012-09-01,2012,9,43,13.41,137.1638888888889
2012-10-01,2012,10,47,13.84,48.96923076923076
2012-11-01,2012,11,39,13.965,58.550000000000004
2012-12-01,2012,12,53,13.425,45.91818181818182
2013-01-01,2013,1,57,14.818181818181815,52.36987179487179
2013-02-01,2013,2,27,14.51010101010101,51.79358974358975
2013-03-01,2013,3,54,15.063636363636364,53.485
2013-04-01,2013,4,48,14.76111111111111,55.397916666666674
2013-05-01,2013,5,49,14.247222222222224,43.86727272727273
2013-06-01,2013,6,58,14.37,36.54954545454545
2013-07-01,2013,7,54,13.290000000000001,34.905
2013-08-01,2013,8,47,14.031818181818181,37.49861111111112
2013-09-01,2013,9,32,14.360000000000001,38.270833333333336
2013-10-01,2013,10,37,14.12409090909091,44.03545454545454
2013-11-01,2013,11,38,13.990909090909092,52.08749999999999
2013-12-01,2013,12,32,13.851666666666667,45.39393939393939
2014-01-01,2014,1,44,13.855555555555556,48.730000000000004
2014-02-01,2014,2,38,14.020000000000001,64.1
2014-03-01,2014,3,51,14.115000000000002,63.48500000000001
2014-04-01,2014,4,31,14.442777777777778,45.36666666666667
2014-05-01,2014,5,34,14.316111111111113,47.910000000000004
2014-06-01,2014,6,42,13.99,32.65
2014-07-01,2014,7,49,13.583333333333332,33.155050505050504
2014-08-01,2014,8,45,13.25079365079365,41.00555555555556
2014-09-01,2014,9,36,13.884444444444444,40.50763888888889
2014-10-01,2014,10,35,13.860000000000001,46.16022727272727
2014-11-01,2014,11,43,13.794444444444444,52.32545454545455
2014-12-01,2014,12,47,13.488888888888887,51.44545454545455
2015-01-01,2015,1,67,13.65,43.16590909090908
2015-02-01,2015,2,41,14.116111111111111,55.131818181818176
2015-03-01,2015,3,35,14.330000000000002,55.84166666666667
2015-04-01,2015,4,52,14.52111111111111,39.97525252525252
2015-05-01,2015,5,47,14.546527777777778,39.225
